var,pais,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021
pov19,ARG,4.578,4.913,5.183,6.5,9.445,14.56,12.56,8.044,6.038,4.671,3.113,3.101,2.857,1.785,1.151,1.725,1.452,1.582,2.778,3.974,3.816,4.175,4.872,5.325,4.932
pov19,BOL,22.606,24.92,27.234,29.036,23.406,26.109,15.607,19.022,22.438,21.005,16.159,14.166,13.74,11.869,9.997,10.843,9.306,8.937,8.914,9.83,9.222,7.83,7.225,7.829,8.899
pov19,BRA,15.881,14.239,14.156,14.49,14.824,13.294,13.721,11.946,10.415,9.226,8.45,6.818,6.627,6.134,5.641,4.722,4.825,4.079,4.885,5.064,5.526,5.707,5.546,8.027,8.009
pov19,CHL,NA,4.193,4.51,4.827,4.406,3.986,3.565,3.114,2.663,2.212,2.121,2.03,1.939,1.895,1.851,1.529,1.206,1.203,1.2,1.162,1.123,1.755,2.386,3.018,2.632
pov19,COL,19.192,17.238,19.783,22.286,23.836,20.361,17.316,19.316,15.973,15.416,14.86,14.303,13.162,11.687,9.517,10.056,8.49,8.329,8.061,6.977,6.675,6.796,8.182,8.424,8.842
pov19,CRI,7.79,6.196,7.392,6.367,6.197,6.34,6.104,5.513,4.624,4.657,2.395,2.602,2.957,2.835,5.19,3.582,3.577,3.059,3.215,2.938,2.404,2.66,2.348,5.629,6.123
pov19,DOM,6.719,7.515,8.31,9.106,8.712,9.836,11.383,15.304,11.911,10.922,8.948,8.57,8.189,8.066,7.586,7.229,6.857,6.213,4.84,4.68,2.46,2.578,1.771,4.2,4.767
pov19,ECU,NA,33.662,29.027,24.391,21.051,20.098,19.144,15.55,15.16,11.194,11.28,9.643,9.852,8.232,6.723,6.683,5.192,4.618,5.328,5.473,5.162,5.36,5.502,10.056,10.748
pov19,GTM,NA,12.975,21.266,29.557,26.574,23.591,20.395,27.831,23.704,19.578,24.151,28.724,33.297,37.87,34.662,24.618,22.888,20.274,18.011,20.434,20.381,21.783,18.916,21.794,23.4
pov19,HND,21.203,20.297,19.232,25.55,31.867,34.616,25.223,31.463,29.545,27.923,22.911,18.2,18.867,20.803,22.494,26.261,24.333,20.942,20.917,21.648,22.88,22.458,23.277,34.471,39.857
pov19,MEX,NA,18.876,16.379,13.883,12.252,10.621,9.754,8.886,9.865,6.565,7.76,8.954,8.801,8.648,8.427,8.205,7.696,7.187,5.865,4.543,4.321,4.099,4.839,5.579,5.537
pov19,NIC,NA,33.315,44.889,36.039,27.189,27.198,27.207,27.215,27.224,26.66,26.096,25.532,24.968,16.968,14.419,13.161,15.056,16.95,17.135,17.3,17.555,23.546,34.497,32.484,23.792
pov19,PAN,13.154,12.416,11.082,11.843,15.693,12.79,12.465,12.965,12.797,13.047,10.777,12.052,8.924,9.816,7.037,5.078,6.619,5.978,6.323,4.715,5.066,5.304,4.783,8.566,9.772
pov19,PER,18.033,19.919,17.71,15.821,18.876,16.06,14.261,15.42,16.995,15.573,11.991,10.224,6.443,5.061,5.868,5.841,5.089,4.4,4.273,4.057,3.993,3.023,2.567,14.842,14.347
pov19,PRY,NA,16.513,16.152,16.81,17.467,20.303,15.252,11.176,10.071,14.078,11.79,8.903,9.526,9.619,9.698,9.513,5.142,5.811,5.874,7.296,6.182,5.87,5.588,3.48,3.04
pov19,SLV,19.785,18.823,16.818,16.079,15.584,16.182,13.131,13.281,15.864,12.404,10.118,11.583,12.332,11.955,10.636,9.613,8.151,7.853,6.181,6.692,5.452,4.755,3.719,8.876,9.263
pov19,URY,1.331,1.485,0.806,1.012,1.436,1.973,2.478,2.953,2.827,1.693,2.127,0.555,1.136,0.809,1.015,1.081,0.892,0.808,1.055,0.929,0.869,0.716,0.836,1.434,1.506
pov19,VEN,9.635,8.982,10.164,9.487,9.614,13.429,17.736,11.655,11.697,5.537,3.42,3.271,2.941,2.93,3.259,3.534,3.019,1.976,2.565,6.264,25.316,70.849,73.811996,76.775,57.374
pov19,LAC,14.6,15.2,15,14.9,15,14.3,13.5,12.5,11.7,9.8,9.2,8.6,8.3,7.9,7.3,6.8,6.3,5.7,5.8,5.8,6.8,9,9.3,11.7,10.9
pov31,ARG,11.16,12.004,12.898,14.623,18.585,28.014,23.766,17.569,14.168,10.446,6.972,7.279,7.291,5.729,3.089,4.558,3.658,4.528,6.397,8.266,7.374,8.109,9.741,11.229,11.582
pov31,BOL,34.398,37.046,39.693,40.577,35.674,38.305,28.247,31.291,34.334,32.571,30.881,23.535,21.085,18.968,16.851,17.973,15.634,15.398,14.987,16.147,15.822,14.258,12.585,13.83,16.548
pov31,BRA,28.297,27.777,28.467,27.453,26.44,25.71,26.909,24.375,22.289,20.597,17.951,15.469,14.808,13.723,12.638,10.387,10.115,8.959,10.511,10.327,10.598,10.513,10.239,15.656,16.634
pov31,CHL,NA,12.029,11.721,11.412,10.913,10.413,9.914,8.701,7.489,6.276,5.792,5.309,4.825,4.517,4.21,3.517,2.823,2.79,2.757,2.659,2.561,3.605,4.648,5.692,5.697
pov31,COL,34.539,34.012,36.349,38.884,41.304,36.314,33.462,35.728,30.024,29.062,28.1,27.138,25.817,23.142,20.019,20.814,17.988,17.38,16.664,15.764,14.95,16.132,16.936,18.38,20.854
pov31,CRI,16.828,13.551,15.485,14.085,13.885,13.837,13.674,13.156,11.05,11.348,7.947,7.228,7.409,7.488,9.795,7.794,7.776,7.102,6.978,6.764,5.993,6.654,6.622,11.703,13.122
pov31,DOM,15.268,16.471,17.673,18.876,19.9,20.036,24.956,30.772,25.283,22.734,21.086,20.286,19.661,20.092,18.157,18.679,17.407,15.235,12.322,11.598,7.775,6.932,5.486,9.723,11.885
pov31,ECU,NA,53.021,47.85,42.678,38.96,37.319,35.678,30.998,28.704,24.157,23.492,22.662,22.589,19.416,16.564,16.174,14.071,12.156,13.177,13.325,12.58,13.239,14.479,20.277,22.667
pov31,GTM,NA,27.173,35.399,43.626,39.024,34.423,32.569,44.287,38.291,32.295,37.225,42.154,47.084,52.014,51.322,41.495,36.965,36.027,33.711,36.318,36.192,37.723,35.875,38.207,42.186
pov31,HND,38.418,37.68,35.306,41.095,46.885,49.142,43.114,46.136,44.777,41.967,37.207,33.355,33.11,35.642,38.402,43.966,40.826,36.135,36.416,35.796,37.712,37.48,37.021,46.069,55.905
